"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"India","Andhra_Pradesh","Amaravati","Secretariat, Amaravati - APPCB","20-11-2023 12:00:00","16.5150833","80.5181667","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","NA","NA","NA","",""
"","","","","","","","OZONE","NA","NA","NA","",""
"","","Anantapur","Gulzarpet, Anantapur - APPCB","20-11-2023 12:00:00","14.675886","77.593027","PM2.5","15","34","24","29","CO"
"","","","","","","","PM10","16","39","24","",""
"","","","","","","","NO2","17","39","23","",""
"","","","","","","","NH3","2","3","3","",""
"","","","","","","","SO2","4","17","7","",""
"","","","","","","","CO","20","40","29","",""
"","","","","","","","OZONE","16","52","25","",""
"","","Chittoor","Gangineni Cheruvu, Chittoor - APPCB","20-11-2023 12:00:00","13.20488","79.097889","PM2.5","11","30","19","35","OZONE"
"","","","","","","","PM10","13","35","22","",""
"","","","","","","","NO2","8","21","14","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","4","18","9","",""
"","","","","","","","CO","2","5","4","",""
"","","","","","","","OZONE","23","92","35","",""
"","","Kadapa","Yerramukkapalli, Kadapa - APPCB","20-11-2023 12:00:00","14.465052","78.824187","PM2.5","19","57","37","37","PM2.5"
"","","","","","","","PM10","18","48","32","",""
"","","","","","","","NO2","21","54","30","",""
"","","","","","","","NH3","1","3","1","",""
"","","","","","","","SO2","1","2","2","",""
"","","","","","","","CO","12","30","21","",""
"","","","","","","","OZONE","6","48","21","",""
"","","Rajamahendravaram","Anand Kala Kshetram, Rajamahendravaram - APPCB","20-11-2023 12:00:00","16.9872867","81.7363176","PM2.5","31","72","44","58","PM10"
"","","","","","","","PM10","43","101","58","",""
"","","","","","","","NO2","12","26","18","",""
"","","","","","","","NH3","2","4","3","",""
"","","","","","","","SO2","9","15","12","",""
"","","","","","","","CO","6","48","24","",""
"","","","","","","","OZONE","20","43","28","",""
"","","Tirupati","Tirumala, Tirupati - APPCB","20-11-2023 12:00:00","13.67","79.35","PM2.5","22","62","49","49","PM2.5"
"","","","","","","","PM10","23","54","41","",""
"","","","","","","","NO2","35","53","46","",""
"","","","","","","","NH3","2","4","3","",""
"","","","","","","","SO2","3","16","11","",""
"","","","","","","","CO","14","24","17","",""
"","","","","","","","OZONE","25","50","29","",""
"","","","Vaikuntapuram, Tirupati - APPCB","20-11-2023 12:00:00","13.615387","79.40923","PM2.5","22","41","31","48","CO"
"","","","","","","","PM10","22","41","31","",""
"","","","","","","","NO2","15","26","19","",""
"","","","","","","","NH3","2","3","3","",""
"","","","","","","","SO2","4","5","5","",""
